,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_depth,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
19,177.27630400657654,8.250081952052362,9.61516135931015,2.288649512464114,8,100,"{'randomforestclassifier__max_depth': 8, 'randomforestclassifier__n_estimators': 100}",0.5598476295981348,0.548597572042706,0.5465919271227005,0.537654834104938,0.5481729907171198,0.007899506992719968,2
20,242.981232047081,29.718516490354904,11.71654862165451,1.1346029887419518,8,200,"{'randomforestclassifier__max_depth': 8, 'randomforestclassifier__n_estimators': 200}",0.5588597583616773,0.5481226897518265,0.5470320333364819,0.5350751010172583,0.5472723956168111,0.008423504987106622,10
21,266.7590727210045,21.991680865241314,11.420316576957703,0.7892553917947651,8,250,"{'randomforestclassifier__max_depth': 8, 'randomforestclassifier__n_estimators': 250}",0.5605590914745521,0.547631652573066,0.5468809215954892,0.5345005613032245,0.547393056736583,0.009217918957070886,8
22,386.95408552885056,3.903004094652729,11.664410531520844,1.0704953962968518,8,500,"{'randomforestclassifier__max_depth': 8, 'randomforestclassifier__n_estimators': 500}",0.562203992268203,0.5476368491748548,0.5469901588876285,0.5345234180524056,0.5478386045957729,0.009803304558073959,4
23,564.0551561117172,32.98422197424077,13.5145463347435,1.9280617170901364,8,1000,"{'randomforestclassifier__max_depth': 8, 'randomforestclassifier__n_estimators': 1000}",0.5599074346497852,0.5489785889077851,0.5461174233119165,0.5344541156462581,0.5473643906289362,0.009057644796116617,9
24,106.80458676815033,5.6111681143543315,7.547050476074219,0.4727213545680856,10,50,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 50}",0.556567327806122,0.5457463028313174,0.5438693162635416,0.5344175418083893,0.5451501221773425,0.007866650508743763,32
25,145.42366176843643,17.3606236374397,9.681559085845947,0.653434304254117,10,100,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 100}",0.5606493055555547,0.545399730646888,0.54532975552721,0.5341182683767951,0.5463742650266119,0.009434338256270082,23
26,248.8331220149994,9.91181033832107,12.028646767139435,0.9049650690220042,10,200,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 200}",0.5604131231103546,0.5469787299225242,0.5454786555177621,0.5361872614323502,0.5472644424957478,0.008643818731056801,11
27,248.19625782966614,24.617976587351198,13.459609806537628,3.6219634489892565,10,250,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 250}",0.5595101551870741,0.5462173615047867,0.5459855924036274,0.5371393546863187,0.5472131159454517,0.007987430453028188,14
28,381.49102330207825,17.534137805990806,12.562630295753479,1.7470394987982698,10,500,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 500}",0.5595581520061719,0.5478746663202314,0.5447248401675477,0.5355485436350462,0.5469265505322494,0.00858432945584946,16
29,638.2449964880943,10.32575485589497,11.488646805286407,1.8852637694142833,10,1000,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 1000}",0.5615514888038542,0.5492319853080118,0.5465517487087421,0.5367468746063238,0.5485205243567329,0.00884317698998449,1
30,114.21318125724792,8.653852765172356,7.293486297130585,0.3343753685877845,15,50,"{'randomforestclassifier__max_depth': 15, 'randomforestclassifier__n_estimators': 50}",0.5555704803634414,0.5388894079113118,0.542512681642101,0.5296702223481983,0.5416606980662632,0.00929595982990492,43
31,179.73221731185913,37.40911902992492,8.460596144199371,0.8596986945759529,15,100,"{'randomforestclassifier__max_depth': 15, 'randomforestclassifier__n_estimators': 100}",0.557021163627487,0.5424890375409412,0.5407403024218943,0.5352965151801454,0.5438867546926169,0.008033658694487293,37
32,263.987331032753,24.989582098056502,10.675205945968628,1.4558336546657766,15,200,"{'randomforestclassifier__max_depth': 15, 'randomforestclassifier__n_estimators': 200}",0.5560454267447708,0.5436297490709245,0.5420419505857891,0.5382011792957917,0.544979576424319,0.006686766602735583,35
33,303.0604745745659,8.86777367484879,12.010724604129791,0.9402523306434899,15,250,"{'randomforestclassifier__max_depth': 15, 'randomforestclassifier__n_estimators': 250}",0.5561070922304098,0.5436792435909544,0.5437359730883087,0.5373168072877293,0.5452097790493505,0.006811113723100781,31
34,504.2389575242996,9.667341474275807,11.892017006874084,0.6759640921081763,15,500,"{'randomforestclassifier__max_depth': 15, 'randomforestclassifier__n_estimators': 500}",0.5567799081160238,0.5459495854591834,0.5425317728017127,0.5364974287446456,0.5454396737803914,0.007370219791301122,28
35,914.2305473685265,10.30749316317349,16.93598985671997,1.17376165678237,15,1000,"{'randomforestclassifier__max_depth': 15, 'randomforestclassifier__n_estimators': 1000}",0.5589222611174093,0.5457667630385484,0.5452782744394047,0.5371456190161247,0.5467782294028718,0.007802845927050397,21
36,116.98349714279175,7.865622215801711,7.498121380805969,0.20475395203707597,20,50,"{'randomforestclassifier__max_depth': 20, 'randomforestclassifier__n_estimators': 50}",0.5501629009983622,0.5368127391975301,0.5356331630290996,0.5260715388007052,0.5371700855064243,0.008580221740613042,50
37,172.21433126926422,8.281400982517699,8.361875832080841,0.794318484761897,20,100,"{'randomforestclassifier__max_depth': 20, 'randomforestclassifier__n_estimators': 100}",0.5540068951562104,0.542895263447972,0.538703128936759,0.5273052076247166,0.5407276237914145,0.009556379346137447,45
38,293.2453752756119,7.767258759298838,11.758088886737823,0.40033483375248147,20,200,"{'randomforestclassifier__max_depth': 20, 'randomforestclassifier__n_estimators': 200}",0.5546346734063993,0.5446547940287225,0.5426391864292004,0.5336313588907784,0.5438900031887752,0.007463865763014842,36
39,346.1781234741211,13.221686494836241,11.699053943157196,0.5099744022404878,20,250,"{'randomforestclassifier__max_depth': 20, 'randomforestclassifier__n_estimators': 250}",0.5564546619897953,0.5449617443783069,0.5441372632432596,0.5359944092498107,0.5453870197152931,0.007287945307565722,29
40,598.5498442053795,16.50752468938903,13.235734581947327,1.159589933822802,20,500,"{'randomforestclassifier__max_depth': 20, 'randomforestclassifier__n_estimators': 500}",0.5562420449892915,0.5462944790879314,0.5471879910714279,0.5374440535241872,0.5467921421682095,0.006653791954969049,18
41,1113.567851781845,9.401773569929967,16.977654099464417,0.6877174881784687,20,1000,"{'randomforestclassifier__max_depth': 20, 'randomforestclassifier__n_estimators': 1000}",0.5567611573286715,0.5452343994866462,0.5446444637345674,0.5377074988189713,0.546086879842214,0.006836693520533163,25
42,118.52601277828217,3.135139897424072,7.75227677822113,0.6051021148478659,30,50,"{'randomforestclassifier__max_depth': 30, 'randomforestclassifier__n_estimators': 50}",0.5383257678256479,0.52318226718002,0.5256878515526576,0.5201659263196017,0.5268404532194819,0.006913258577572417,58
43,182.58704107999802,2.631009185918261,9.008585155010223,1.895167429964348,30,100,"{'randomforestclassifier__max_depth': 30, 'randomforestclassifier__n_estimators': 100}",0.5502305784674976,0.5281117075302338,0.5380474835443422,0.5261786945704203,0.5356421160281235,0.009550817073218313,54
